ref->hyp,count
"('l', 'd')",90
"('d', 'g')",41
"('t', 'd')",31
"('z', 'd')",27
"('x', 'h')",24
"('h', 'w')",23
"('j', 'g')",23
"('ch', 'z')",20
"('r', 'n')",19
"('t', 'y')",19
"('p', 'b')",18
"('ch', 'c')",18
"('s', 'sh')",17
"('sh', 'd')",17
"('ch', 'q')",16
