ref->hyp,count
"('i', 'e')",24
"('u', 'i')",18
"('ai', 'e')",16
"('ui', 'i')",16
"('ou', 'e')",15
"('ai', 'a')",15
"('ian', 'e')",14
"('u', 'e')",13
"('i', 'ai')",13
"('e', 'ai')",13
"('e', 'i')",12
"('u', 'en')",10
"('i', 'ian')",9
"('uo', 'u')",9
"('u', 'ai')",9
