ref->hyp,count
"('l', 'd')",53
"('s', 'sh')",18
"('x', 'h')",18
"('j', 'g')",17
"('d', 'g')",16
"('t', 'd')",15
"('sh', 'l')",13
"('z', 'sh')",11
"('z', 'zh')",10
"('p', 'b')",10
"('h', 'w')",10
"('l', 'sh')",10
"('j', 'sh')",10
"('zh', 'z')",10
"('ch', 'zh')",9
