ref->hyp,count
"('l', 'd')",87
"('t', 'd')",34
"('d', 'g')",34
"('j', 'g')",23
"('x', 'h')",23
"('ch', 'z')",22
"('z', 'd')",22
"('ch', 'c')",21
"('h', 'w')",21
"('t', 'y')",19
"('r', 'n')",18
"('s', 'sh')",18
"('sh', 'd')",18
"('p', 'b')",17
"('z', 'zh')",16
