ref->hyp,count
"('l', 'd')",93
"('d', 'g')",38
"('t', 'd')",34
"('z', 'd')",30
"('h', 'w')",26
"('x', 'h')",25
"('ch', 'z')",21
"('zh', 'z')",21
"('j', 'g')",20
"('q', 'j')",18
"('ch', 'c')",17
"('t', 'y')",17
"('sh', 's')",16
"('d', 't')",16
"('r', 'n')",16
