ref->hyp,count
"('u', 'i')",55
"('ian', 'ie')",53
"('ai', 'e')",46
"('ai', 'a')",39
"('uo', 'u')",38
"('ang', 'a')",30
"('ui', 'i')",27
"('i', 'e')",27
"('an', 'ian')",22
"('ang', 'an')",21
"('a', 'i')",20
"('ou', 'e')",19
"('e', 'a')",19
"('an', 'e')",18
"('e', 'u')",16
