ref->hyp,count
"('l', 'd')",106
"('d', 'g')",51
"('t', 'd')",45
"('h', 'w')",37
"('z', 'd')",36
"('j', 'g')",28
"('sh', 's')",28
"('r', 'n')",26
"('ch', 'c')",25
"('x', 'h')",24
"('ch', 'z')",23
"('zh', 'z')",23
"('t', 'y')",23
"('ch', 'q')",22
"('y', 'n')",22
