ref->hyp,count
"('l', 'd')",86
"('t', 'd')",36
"('d', 'g')",36
"('z', 'd')",25
"('j', 'g')",24
"('s', 'sh')",21
"('x', 'h')",21
"('h', 'w')",20
"('ch', 'c')",19
"('r', 'n')",19
"('ch', 'z')",18
"('zh', 'z')",18
"('q', 'j')",17
"('t', 'y')",17
"('z', 'zh')",17
