ref->hyp,count
"('l', 'd')",89
"('d', 'g')",37
"('t', 'd')",33
"('z', 'd')",28
"('h', 'w')",26
"('j', 'g')",24
"('x', 'h')",24
"('p', 'b')",20
"('s', 'sh')",19
"('sh', 's')",19
"('r', 'n')",19
"('ch', 'z')",18
"('y', 'n')",18
"('ch', 'zh')",18
"('q', 'j')",17
