ref->hyp,count
"('l', 'd')",91
"('d', 'g')",34
"('t', 'd')",32
"('x', 'h')",24
"('r', 'n')",22
"('ch', 'z')",22
"('h', 'w')",22
"('z', 'd')",21
"('ch', 'c')",20
"('j', 'g')",20
"('t', 'y')",18
"('sh', 'd')",18
"('zh', 'z')",17
"('q', 'j')",16
"('s', 'sh')",16
